ID,Created,Type,Description,Pass Rate,# Tests
eval-OjL-2026-08-19T18:13:27,2026-08-19T18:13:27.391Z,Eval,EDD on Design Story Implementation skill,80,5
eval-5am-2026-08-19T15:22:40,2026-08-19T15:22:40.041Z,Eval,EDD on Design Story Implementation skill,75,4
eval-I5d-2026-08-17T20:42:10,2026-08-17T20:42:10.216Z,Eval,EDD on Design Story Implementation skill,60,5
eval-eMy-2026-07-28T17:17:21,2026-07-28T17:17:21.394Z,Eval,EDD on Design Story Implementation skill,80,5
eval-Tig-2026-07-24T21:00:47,2026-07-24T21:00:47.523Z,Eval,EDD on Design Story Implementation skill,80,5
eval-gUt-2026-07-24T20:56:21,2026-07-24T20:56:21.409Z,Eval,EDD on Design Story Implementation skill,0,1
eval-ihq-2026-07-21T20:30:04,2026-07-21T20:30:04.051Z,Eval,EDD on Design Story Implementation skill,40,5
eval-StV-2026-07-21T20:24:46,2026-07-21T20:24:46.181Z,Eval,EDD on Design Story Implementation skill,33.33,3
eval-gmN-2026-07-21T19:58:46,2026-07-21T19:58:46.836Z,Eval,EDD on Design Story Implementation skill,80,5
eval-xUZ-2026-07-21T19:08:35,2026-07-21T19:08:35.626Z,Eval,EDD on Design Story Implementation skill,60,5
eval-Bo1-2026-07-21T18:31:06,2026-07-21T18:31:06.482Z,Eval,EDD on Design Story Implementation skill,100,5
eval-zMX-2026-07-14T21:30:49,2026-07-14T21:30:49.194Z,Eval,EDD on Design Story Implementation skill,50,4
eval-1sq-2026-07-14T19:48:39,2026-07-14T19:48:39.521Z,Eval,EDD on Design Story Implementation skill,33.33,3
eval-0sm-2026-07-14T19:34:33,2026-07-14T19:34:33.943Z,Eval,EDD on Design Story Implementation skill,66.67,3
eval-Yl6-2026-07-13T21:21:25,2026-07-13T21:21:25.755Z,Eval,EDD on Design Story Implementation skill,66.67,3
eval-QZA-2026-07-13T20:56:22,2026-07-13T20:56:22.514Z,Eval,EDD on Design Story Implementation skill,66.67,3
eval-WRj-2026-07-13T20:53:32,2026-07-13T20:53:32.098Z,Eval,EDD on Design Story Implementation skill,33.33,3
eval-wuR-2026-07-13T20:49:33,2026-07-13T20:49:33.058Z,Eval,EDD on Design Story Implementation skill,33.33,3
eval-shO-2026-07-13T19:20:32,2026-07-13T19:20:32.272Z,Eval,EDD on Design Story Implementation skill,0,3
