ID,Created,Type,Description,Pass Rate,# Tests
eval-VyS-2026-07-31T20:21:53,2026-07-31T20:21:53.369Z,Eval,EDD on Grade Design,55.56,3
eval-cwp-2026-07-31T20:14:59,2026-07-31T20:14:59.502Z,Eval,EDD on Grade Design,55.56,3
eval-Ust-2026-07-31T20:04:18,2026-07-31T20:04:18.428Z,Eval,EDD on Grade Design,66.67,3
eval-u78-2026-07-31T19:54:47,2026-07-31T19:54:47.142Z,Eval,EDD on Grade Design,55.56,3
eval-2W7-2026-07-31T19:13:28,2026-07-31T19:13:28.991Z,Eval,EDD on Grade Design,33.33,3
eval-IWK-2026-07-31T18:59:33,2026-07-31T18:59:33.049Z,Eval,EDD on Grade Design,44.44,3
eval-mXD-2026-07-30T20:14:44,2026-07-30T20:14:44.451Z,Eval,EDD on Grade Design,55.56,3
eval-SQF-2026-07-30T20:03:16,2026-07-30T20:03:16.704Z,Eval,EDD on Grade Design,66.67,3
eval-Z7y-2026-07-30T19:57:04,2026-07-30T19:57:04.500Z,Eval,EDD on Grade Design,33.33,3
eval-PhK-2026-07-30T19:50:18,2026-07-30T19:50:18.182Z,Eval,EDD on Grade Design,33.33,3
eval-6Gi-2026-07-30T19:46:08,2026-07-30T19:46:08.973Z,Eval,EDD on Grade Design,50,3
eval-Khy-2026-07-30T19:28:05,2026-07-30T19:28:05.010Z,Eval,EDD on Grade Design,75,2
eval-Hwt-2026-07-30T19:23:13,2026-07-30T19:23:13.083Z,Eval,EDD on Grade Design,75,2
eval-dhv-2026-07-30T19:14:52,2026-07-30T19:14:52.215Z,Eval,EDD on Grade Design,75,2
eval-jJS-2026-07-30T19:10:57,2026-07-30T19:10:57.194Z,Eval,EDD on Grade Design,75,2
eval-7H8-2026-07-30T19:03:02,2026-07-30T19:03:02.798Z,Eval,EDD on Grade Design,75,2
eval-hJv-2026-07-30T18:49:56,2026-07-30T18:49:56.048Z,Eval,EDD on Grade Design,50,2
eval-imo-2026-07-30T18:41:54,2026-07-30T18:41:54.794Z,Eval,EDD on Grade Design,50,2
eval-R9U-2026-07-30T18:36:14,2026-07-30T18:36:14.291Z,Eval,EDD on Grade Design,75,2
eval-D2h-2026-07-30T18:35:54,2026-07-30T18:35:54.218Z,Eval,EDD on Grade Design,0,0
eval-UoD-2026-07-29T19:27:44,2026-07-29T19:27:44.861Z,Eval,EDD on Grade Design,100,3
eval-rfO-2026-07-29T19:24:28,2026-07-29T19:24:28.292Z,Eval,EDD on Grade Design,75,2
